from ,to,weight,season
FSV Mainz,1,50,2021
Nürnberg,33,3,2019
VfB 2,42,0,2021
Arsenal,5,8,2020
Hannover,2,40,2020
Jubilo Iwata,37,4,2021
Dinamo,24,60,2018
Freiburg,15,13,2020
Anderlecht,23,18,2017
St. Truiden,3,17,2020
Kiel,16,8,2019
Juventus Turin,32,15,2021
Chelsea,6,4,2020
AS Monaco,8,18,2021
Köln,28,0,2019
Paris,14,80,2019
Bielefeld,30,25,2018
Augsburg,11,5,2017
Sandhausen,20,30,2019
Instituto,31,17,2019
Jugend,25,0,2020
Istanbul,34,0,2021
Wolfsburg,10,0,2018
Paris,7,0,2019
SC Paderborn,22,25,2021
Admira,9,18,2019
Lissbon,18,5,2021
Wolfsburg,17,0,2021
Veijle Boldklub,19,45,2021
Jugend,50,0,2021
VfB 2,44,0,2021
1,Deutschland,,
33,Deutschland,,
42,Deutschland,,
5,Griechenland,,
2,Deutschland,,
2,Ubekistan,,
37,Deutschland,,
37,Japan,,
24,Deutschland,,
24,Kroatien,,
15,Deutschland,,
23,Belgien,,
23,DR Kongo,,
3,Japan,,
16,Deutschland,,
32,Frankreich,,
32,Komoren,,
6,England,,
6,DR Kongo,,
8,Frankreich,,
8,Martinique,,
28,Dänemark,,
28,Ghana,,
14,DR Kongo,,
30,Deutschland,,
30,Italien,,
11,Deutschland,,
20,Deutschland,,
31,Deutschland,,
31,Griechenland,,
25,Deutschland,,
34,Türkei,,
10,Deutschland,,
10,Benin,,
7,Frankreich,,
7,Italien,,
22,Deutschland,,
9,Österreich,,
9,Serbien,,
18,Portugal,,
17,Ägypten,,
17,Kanada,,
19,Dänemark,,
19,Afghanistan,,
50,Frankreich,,
50,Kamerun,,
44,Niederlande,,
44,Sierra Leone,,