id,name,country,type
1,Florian Müller,Deutschland,1
33,Fabian Bredlow,Deutschland,1
42,Florian Schock,Deutschland,1
5,Konstantinos Mavropanos,Griechenland,1
2,Waldemar Anton,Deutschland,1
37,Hiroki Ito,Japan,1
24,Borna Sosa,Kroatien,1
15,Pascal Stenzel,Deutschland,1
23,Orel Mangala,Belgien,1
3,Wataru Endo,Japan,1
16,Atakan Karazor,Deutschland,1
32,Naouirou Ahamada,Frankreich,1
6,Clinton Mola,England,1
8,Enzo Millot,Frankreich,1
28,Nikolas Nartey,Dänkemark,1
14,Silas Katompa Mvumpa,DR Kongo,1
30,Roberto Massimo,Deutschland,1
11,Erik Thommy,Deutschland,1
20,Philipp Förster,Deutschland,1
31,Mateo Klimowicz,Deutschland,1
25,Lilian Egloff,Deutschland,1
34,Ömer Beyaz,Türkei,1
10,Daniel Didavi,Deutschland,1
7,Tanguy Coulibaly,Frankreich,1
22,Chris Führich,Deutschland,1
9,Salsa Kalajdzic,Österreich,1
18,Tiago Tomas,Portugal,1
17,Omar Marmoush,Ägypten,1
19,Wahid Faghir,Dänemark,1
50,Alexis Tibidi,Frankreich,1
44,Mohamed Sankoh,Niederlande,1